==31774== NVPROF is profiling process 31774, command: python Corr-conv1-benchmark.py
Using gpu device 0: Tesla K40c (CNMeM is disabled)

CONFIG: input = 3 x 128 x 128 * ker = 3 x 96 x 11 x 11 ( bs = 128 , stride = 1 )
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> fprop         ==>     135
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> bprop inputs  ==>     119
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> bprop weights ==>     282
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> TOTAL         ==>     538

==31774== Profiling application: python Corr-conv1-benchmark.py
==31774== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
18.7652s  848.37us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [946]
18.7661s  198.06us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [962]
18.7663s  850.25us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [979]
18.7672s  204.94us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [995]
18.7674s  846.19us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1012]
18.7682s  202.99us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1028]
18.7684s  837.36us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1045]
18.7693s  207.47us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1061]
18.7695s  847.66us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1078]
18.7703s  201.07us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1094]
18.7705s  849.17us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1111]
18.7714s  206.41us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1127]
18.7716s  844.85us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1144]
18.7724s  194.22us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1160]
18.7726s  844.59us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1177]
18.7735s  206.51us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1193]
18.7737s  847.41us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1210]
18.7745s  197.19us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1226]
18.7747s  854.09us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1243]
18.7756s  208.43us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1259]
18.7758s  849.48us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1276]
18.7767s  206.22us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1292]
18.7769s  854.64us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1309]
18.7777s  206.54us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1325]
18.7779s  841.20us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1342]
18.7788s  197.00us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1358]
18.7790s  846.99us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1375]
18.7798s  195.98us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1391]
18.7800s  839.95us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1408]
18.7809s  181.93us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1424]
18.7811s  846.64us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1441]
18.7819s  193.10us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1457]
18.7821s  845.39us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1474]
18.7830s  205.68us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1490]
18.7832s  847.50us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1507]
18.7840s  193.71us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1523]
18.7842s  851.92us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1540]
18.7851s  208.46us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1556]
18.7853s  844.24us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1573]
18.7861s  195.91us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1589]
18.7863s  838.61us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1606]
18.7872s  187.56us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1622]
18.7874s  845.96us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1639]
18.7882s  188.55us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1655]
18.7884s  846.67us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1672]
18.7892s  189.39us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1688]
18.7894s  840.24us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1705]
18.7903s  213.36us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1721]
18.7905s  845.23us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1738]
18.7913s  199.76us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1754]
18.7916s  848.46us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1771]
18.7924s  206.92us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1787]
18.7926s  846.83us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1804]
18.7935s  203.34us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1820]
18.7937s  848.27us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1837]
18.7945s  200.56us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1853]
18.7947s  848.91us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1870]
18.7956s  213.74us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1886]
18.7958s  843.73us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1903]
18.7966s  202.73us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1919]
18.7968s  852.14us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1936]
18.7977s  199.50us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1952]
18.7979s  854.54us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [1969]
18.7988s  197.10us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [1985]
18.7990s  844.91us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2002]
18.7998s  208.75us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2018]
18.8000s  848.88us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2035]
18.8009s  208.65us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2051]
18.8011s  852.94us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2068]
18.8019s  200.78us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2084]
18.8021s  846.96us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2101]
18.8030s  209.84us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2117]
18.8032s  846.03us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2134]
18.8041s  199.50us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2150]
18.8043s  838.86us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2167]
18.8051s  207.31us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2183]
18.8053s  847.37us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2200]
18.8062s  209.13us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2216]
18.8064s  847.95us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2233]
18.8072s  198.35us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2249]
18.8074s  838.22us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2266]
18.8083s  194.38us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2282]
18.8085s  847.79us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2299]
18.8093s  201.48us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2315]
18.8095s  838.86us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2332]
18.8104s  201.19us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2348]
18.8106s  847.85us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2365]
18.8114s  206.60us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2381]
18.8116s  849.71us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2398]
18.8125s  207.05us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2414]
18.8127s  846.29us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2431]
18.8135s  211.63us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2447]
18.8138s  840.81us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2464]
18.8146s  198.12us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2480]
18.8148s  851.50us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2497]
18.8157s  212.68us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2513]
18.8159s  848.56us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [2530]
18.8167s  207.63us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [2546]
