==6331== NVPROF is profiling process 6331, command: python fft-conv1-benchmark.py
Using gpu device 0: Tesla K40c (CNMeM is disabled)

CONFIG: input = 3 x 128 x 128 * ker = 3 x 96 x 11 x 11 ( bs = 128 , stride = 1 )
theano.sandbox.cuda.fftconv.conv2d_fft             ==> fprop         ==>     189
theano.sandbox.cuda.fftconv.conv2d_fft             ==> bprop inputs  ==>     330
theano.sandbox.cuda.fftconv.conv2d_fft             ==> bprop weights ==>     258
theano.sandbox.cuda.fftconv.conv2d_fft             ==> TOTAL         ==>     778

==6331== Profiling application: python fft-conv1-benchmark.py
==6331== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
20.0083s  3.9939ms                    -               -         -         -         -  768.00MB  187.79GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.0123s  1.2480us                    -               -         -         -         -       36B  27.510MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.0142s  11.145ms         (196608 1 1)       (256 1 1)        32        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::preprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [1226]
20.0254s  10.090ms          (49152 1 1)        (16 8 2)        50  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Mem<unsigned int, float, fftDirection_t=1, unsigned int=16, unsigned int=4, L1, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_radix1_t, unsigned int, float>) [1231]
20.0355s  9.1032ms          (98304 1 1)       (16 16 1)        32  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelMem<unsigned int, float, fftDirection_t=1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_t, unsigned int, float>) [1236]
20.0449s  21.675ms             (30 1 1)       (256 1 1)        26        0B        0B         -           -   Tesla K40c (0)         1         7  kernel_Mul_node_f1524bb3d6ca9eb7764cc139ef1e3ac8_0_3(unsigned int, int, int, int, float const *, int, int, int, float const *, int, int, int, float*, int, int, int) [1257]
20.0671s  129.93us                    -               -         -         -         -  24.375MB  183.21GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.0672s  1.2170us                    -               -         -         -         -       48B  37.614MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.0674s  275.85us           (1536 1 1)        (16 8 2)        48  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [1275]
20.0677s  270.67us           (3072 1 1)       (16 16 1)        30  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [1282]
20.0680s  281.52us           (6144 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [1297]
20.0683s  5.4437ms         (4096 128 1)         (3 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [1315]
20.0740s  97.093us                    -               -         -         -         -  18.000MB  181.04GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.0741s  7.1040us             (96 3 1)       (11 11 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [1338]
20.0742s  97.477us                    -               -         -         -         -  18.281MB  183.15GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.0743s  1.2160us                    -               -         -         -         -       48B  37.645MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.0744s  207.47us           (1152 1 1)        (16 8 2)        48  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [1350]
20.0746s  203.37us           (2304 1 1)       (16 16 1)        30  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [1357]
20.0748s  211.02us           (4608 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [1372]
20.0754s  1.2159ms           (4096 3 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [1392]
20.0773s  4.0502ms                    -               -         -         -         -  780.00MB  188.07GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.0814s  1.2160us                    -               -         -         -         -       48B  37.645MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.0817s  2.9440us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [1408]
20.0818s  2.5280us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [1412]
20.0820s  2.5600us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [1416]
20.0820s  16.252ms           (6 8 8320)         (8 8 1)        64  4.5000KB        0B         -           -   Tesla K40c (0)         1         7  void fermiPlusCgemmLDS128_batched<bool=0, bool=0, bool=0, bool=0, int=4, int=4, int=4, int=3, int=3>(float2**, float2**, float2**, int, int, int, int, int, int, float2 const *, float2 const *, float2, float2, int) [1432]
20.0992s  99.636ms           (128 96 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [1457]
20.1998s  3.9964ms                    -               -         -         -         -  768.00MB  187.67GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.2038s  1.2480us                    -               -         -         -         -       36B  27.510MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.2039s  11.149ms         (196608 1 1)       (256 1 1)        32        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::preprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [1481]
20.2150s  10.082ms          (49152 1 1)        (16 8 2)        50  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Mem<unsigned int, float, fftDirection_t=1, unsigned int=16, unsigned int=4, L1, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_radix1_t, unsigned int, float>) [1486]
20.2251s  9.1066ms          (98304 1 1)       (16 16 1)        32  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelMem<unsigned int, float, fftDirection_t=1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_t, unsigned int, float>) [1491]
20.2345s  21.640ms             (30 1 1)       (256 1 1)        26        0B        0B         -           -   Tesla K40c (0)         1         7  kernel_Mul_node_f1524bb3d6ca9eb7764cc139ef1e3ac8_0_3(unsigned int, int, int, int, float const *, int, int, int, float const *, int, int, int, float*, int, int, int) [1512]
20.3524s  1.2480us                    -               -         -         -         -        4B  3.0567MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.3526s  2.4960us                    -               -         -         -         -        4B  1.5283MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.3668s  1.0560us                    -               -         -         -         -        4B  3.6124MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.3669s  2.4960us                    -               -         -         -         -        4B  1.5283MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.3694s     864ns                    -               -         -         -         -        4B  4.4152MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.3695s  2.1440us                    -               -         -         -         -        4B  1.7792MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.3861s     864ns                    -               -         -         -         -        4B  4.4152MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.3862s  2.1440us                    -               -         -         -         -        4B  1.7792MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.3865s  1.9840us                    -               -         -         -         -        4B  1.9227MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.3876s  2.0160us                    -               -         -         -         -        4B  1.8922MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.3909s  1.9850us                    -               -         -         -         -        4B  1.9218MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.3910s  2.0160us                    -               -         -         -         -        4B  1.8922MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.3912s  3.6480us              (1 1 1)         (1 1 1)        13        0B        0B         -           -   Tesla K40c (0)         1         7  kernel_TrueDiv_node_6b09085a223d6288386a6525d5e45be7_0_Ccontiguous(unsigned int, float const *, float const *, float*) [1576]
20.3914s  2.1440us                    -               -         -         -         -        4B  1.7792MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.3938s  1.9840us                    -               -         -         -         -        4B  1.9227MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.3940s  2.0160us                    -               -         -         -         -        4B  1.8922MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.4214s  2.1120us                    -               -         -         -         -        4B  1.8062MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.4226s  2.0160us                    -               -         -         -         -        4B  1.8922MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.4418s  2.1120us                    -               -         -         -         -        4B  1.8062MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
20.4436s  4.6453ms                    -               -         -         -         -  892.69MB  187.67GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.4482s  121.60ms           (128 96 1)        (32 8 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [1670]
